wallet_address,credit_score,cluster,transaction_count,liquidation_count,repayment_consistency_ratio,collateral_health_score
0xb631651cb570ba0c0d696bd5e4860cbd214f20a0,100,0,15,0,0.0,100.0
0xd2a24131a564f00ebda75b34fc6fd5d91bc32693,100,0,3,0,0.0,100.0
0x815721a8b174a18aec0c434706c289b08230f3ea,100,0,5,0,0.0,100.0
0xe6f6f9492098aad009faa3f9b84f35c0b6ee7f3c,100,0,29,0,0.14285714285714285,100.0
0xa1df7157e5eb60c4f9bcffb6a2f725a4b6492ca7,100,1,57,0,0.7391304347826086,100.0
0xcf27ec0ae6f3c4aff868b2a19f8dad58cdc8730c,100,0,5,0,0.0,100.0
0xe2c567cd62bc1fa94d75f0bd7611b231ad02fa73,100,0,3,0,0.0,100.0
0x1bcfe4f499db23909a5ddc33d6e2d879531176ec,100,0,4,0,1.0,100.0
0x1c49f9aa2dec3ad25d4b3efc29a785cf17691370,100,0,6,0,0.0,100.0
0xa53a13a80d72a855481de5211e7654fabdfe3526,100,1,56,0,0.5882352941176471,100.0
0xff19ad332cc5bb32703a3058c6f93ce177cfbb08,100,1,54,0,1.0,100.0
0x8242d744f0d94f3a3e11258d727ec093e2b4589a,100,0,9,0,0.0,100.0
0x0b013cca6335dd62353ca60ecec9c39b5227d270,100,1,115,0,0.058823529411764705,100.0
0xfaf95953a36ed1e8f8426ab5b7eb53da246e3476,100,0,31,0,0.0,100.0
0xf85a551811c40e7ffb912a21efe2c26277be8ebc,100,0,22,0,0.0,100.0
0x9ce8f85083fcf364467a827cb15730102306ed1c,100,1,161,0,0.8591549295774648,100.0
0xa1fb1ccf3bd712972b06a089c6c69fe342a52af1,100,0,4,0,0.0,100.0
0x5c10afd2e8c8ae7e282aea60759209f32edfe3d8,100,0,22,0,0.0,100.0
0x9dafd2b0627955f9398f65324af581d44958d4d8,100,0,9,0,0.0,100.0
0x7c65eeefff2b7127df173b43b7c93b93ab75c7e7,100,0,11,0,2.0,100.0
0x1658a95d08bc44111a93f7afcab8444b7e8dc0c7,100,1,66,0,0.8695652173913043,100.0
0x639e4bb8d28d477beba288da38696948df14d68e,100,0,4,0,1.0,100.0
0x5632cf9a1b4ac936a3c6d3d66eb75c0344c61c2d,100,0,34,0,0.0,100.0
0x9079a0a7e0ebee7650c8c9da2b6946e5a5b07c19,100,0,14,0,1.0,100.0
0xc8273dd8a2635a15b0e34f838d0613b7609c30ba,100,0,4,0,0.0,100.0
0xa6e8e242a6bbdb87765edb408530348b4f51030b,100,0,7,0,0.0,100.0
0x7f9095575034fadc9bcaeb29c5157c9c6a8d89ba,100,0,4,0,0.0,100.0
0x5da581400c1a404811ab251680e24eb73f679f18,100,0,7,0,0.0,100.0
0x9de91512807a33d1df1d7ad07a99b220ed719269,100,0,9,0,0.0,100.0
0xcb59db511a5922303cc867e2853d5cad72698deb,100,0,5,0,0.0,100.0
0x8094f015cbd787e16a65ad0ab606c41d78c1887f,100,0,4,0,0.0,100.0
0x3d41bd2623c454ccf12cb1a943b3a2fe1a7a3f86,100,0,3,0,0.0,100.0
0xcb937212f1dffa4dda6837cddb4788d1ce5e0251,100,0,6,0,0.0,100.0
0x0118289457e9fd02c05e37e27a11bd09d3500021,100,1,75,0,1.3636363636363635,100.0
0xc721921b29618680c19f4a4d1458f82689c126ce,100,0,6,0,0.0,100.0
0x5581a2536f0ceb3500079c574dddeb515d8b027e,100,0,3,0,0.0,100.0
0x52c72f8333bca27b9e489e729da979047e0dab6d,100,0,5,0,0.0,100.0
0x0aba55c93cf7292f71067b0ba0d8b464592895ca,100,0,15,0,0.0,100.0
0x322d58b9e75a6918f7e7849aee0ff09369977e08,100,0,34,0,0.0,100.0
0x9eb408e53dfa0c877b65bbe874de81247212380e,100,0,18,0,0.0,100.0
0x2ac4aed3a8295b967583a131f6214297f1ea531e,100,0,12,0,1.0,100.0
0xcf32352be14b4c39ea7b914f8c302de4d67f0ff6,100,0,10,0,0.0,100.0
0xac11719dd03db03a4ee0825fe7888b09db42c736,100,0,4,0,1.0,100.0
0xfafaf5bf3ddba46c38f6d71b9138b121a20d644c,100,0,11,0,0.0,100.0
0xa4da0f347c6abe0e8bc71b5981fd92b364eda4c2,100,0,37,0,0.0,100.0
0xaacb53d9ada6825be17020a445c6e9c21a22fe34,100,0,11,0,0.0,100.0
